ENTRY,BLOC,IBLK,Name1,Location,Locn,Year,Experiment.Name,Type,Trial,Check,Plot,Pass,Range,Column,HD,TW,PH,BUAC,FD,Can_Cover,X900nm,X975nm,Blue,Green,Red,RE1,RE2,NIR,NDVI,NDRE1,NDRE2,NWI1,NWI2,MTVI
15,1,6,ARS-SELBU-2-0,Davenport,DVP,2022,2022 AWY2 DVP,SWW,AWY2,0,16,4,3,4,172,65.9,34,66,178,94.65633691,83.01245535,73.81286019,27.18719896,39.80696329,36.80814185,49.66794106,61.0874554,71.58535819,0.31850542,0.179855843,0.079126254,-0.057355818,-0.058661417,0.061694524
15,1,6,ARS-SELBU-2-0,Farmington,FAR,2022,2022 AWY2 FMN,SWW,AWY2,0,16,4,3,4,NA,61.5,38,79,178,55.02428091,67.40403677,58.03744525,15.81157278,23.75796129,20.93059292,33.56614459,42.74153208,51.32157973,0.416040464,0.208667323,0.09121586,-0.073169751,-0.074669012,0.050192933
15,1,6,ARS-SELBU-2-0,Pullman,PUL,2022,2022 AWY2 PUL,SWW,AWY2,0,16,4,3,4,174,64.4,41,128,175,82.49570447,91.89283569,80.54251984,21.00040567,34.45557163,28.04366714,42.49814579,55.88624123,67.71305353,0.410539581,0.228052436,0.09568673,-0.065348945,-0.0658236,0.046646118
24,1,14,ARS-SELBU-2-0,Pullman,PUL,2021,2021 AWY2 PUL,SWW,AWY2,0,40,0,5,8,153,NA,31,75,155,91.32690882,97.77051762,88.02418984,26.56718166,39.34598566,36.63506164,57.70526126,73.19922925,86.19080559,0.40181666,0.19740208,0.081508084,-0.051800069,-0.05245751,0.096051627
24,1,14,ARS-SELBU-2-0,Davenport,DVP,2021,2021 AWY2 DVP,SWW,AWY2,0,40,0,5,8,161,NA,31,61,168,79.65657047,72.53851887,67.94595731,22.36080767,33.42044034,31.49570405,38.34169847,45.08039381,53.58815171,0.257075057,0.165427808,0.086225634,-0.031960634,-0.032690883,0.034686895
24,1,14,ARS-SELBU-2-0,Walla_Walla,WAL,2021,2021 AWY2 WAW,SWW,AWY2,0,40,0,5,8,141,NA,38,107,148,98.63013699,125.2792061,97.65336658,31.14880666,44.92322156,40.26206419,53.86533008,69.37348165,82.39986454,0.342778314,0.209341343,0.085827869,-0.123763342,-0.123920158,0.052643984
15,2,6,ARS-SELBU-2-0,Davenport,DVP,2022,2022 AWY2 DVP,SWW,AWY2,0,52,4,9,4,NA,63.4,NA,63,178,95.97205097,83.93405619,76.50760257,28.30625765,40.83911235,37.57054713,54.23975703,66.06017516,76.82430463,0.338632818,0.171384526,0.07533449,-0.045325619,-0.046287564,0.080240452
15,2,6,ARS-SELBU-2-0,Farmington,FAR,2022,2022 AWY2 FMN,SWW,AWY2,0,52,4,9,4,NA,59.9,40,96,178,88.14843981,103.3710029,83.33343852,22.38961546,34.66918109,30.62135112,48.75850118,63.15969954,76.62967098,0.424178357,0.221666898,0.096359054,-0.106631234,-0.107322377,0.078114062
15,2,6,ARS-SELBU-2-0,Pullman,PUL,2022,2022 AWY2 PUL,SWW,AWY2,0,52,4,9,4,NA,64.6,NA,147,175,90.43731778,122.0060523,105.2932941,24.84308385,40.1674769,32.67262061,54.44218373,72.06951756,88.78476158,0.459102539,0.239498706,0.103915445,-0.072970397,-0.073527524,0.070757667
24,2,5,ARS-SELBU-2-0,Pullman,PUL,2021,2021 AWY2 PUL,SWW,AWY2,0,63,0,8,2,NA,NA,NA,68,155,97.15401786,94.03601873,87.72836075,27.83557411,41.53562263,39.27058444,57.4063388,71.82246473,83.58400311,0.359959359,0.185764315,0.075682425,-0.034348037,-0.034702388,0.09092641
